Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2013-01-02,115.9928970336914,116.06436722490628,114.93668199861817,115.23846118512465,192059000
2013-01-03,115.73081970214844,116.2390723347181,115.42110344351534,115.93730528636958,144761800
2013-01-04,116.23907470703125,116.42967399227177,115.68317527220329,115.92142134932922,116817700
2013-01-07,115.92144012451172,116.03262002948453,115.49259469268742,115.82614652530668,110002500
2013-01-08,115.58787536621094,115.87376821958505,115.13520663266104,115.71494154942125,121265100
2013-01-09,115.88172912597656,116.19939464928365,115.65936931851193,115.84201942085059,90745600
2013-01-10,116.80293273925781,116.81086983264363,115.92143066543846,116.52497694065629,130735400
2013-01-11,116.79496002197266,116.85848098508421,116.4296478367525,116.77112451368566,113917300
2013-01-14,116.71559143066406,116.79501084565729,116.28674597802286,116.65205832220975,89567200
2013-01-15,116.79496002197266,116.90613988396208,116.10404534174914,116.17551551352173,93172600
2013-01-16,116.77909851074219,116.96174858327485,116.42967255097622,116.55673873956361,104849500
2013-01-17,117.5335464477539,117.86708613895462,116.85851785418345,117.29530034898198,133833500
2013-01-18,117.79562377929688,117.92268998945316,117.08088543544339,117.50973086529564,169906000
2013-01-22,118.43089294433594,118.43089294433594,117.51761857503502,117.79557427823435,111797300
2013-01-23,118.6215591430664,118.72480197897418,118.21654913079576,118.43097189856432,104596100
2013-01-24,118.65330505371094,119.23302798808339,118.33563952154033,118.44681942837478,146426400
2013-01-25,119.32035064697266,119.32035064697266,118.62149879214246,119.02652071605432,147211600
2013-01-28,119.17740631103516,119.38387975321258,118.73267470698833,119.3521071512178,113357700
2013-01-29,119.64595794677734,119.79684752305309,118.85974957877652,118.93916897187893,105694400
2013-01-30,119.17740631103516,119.86830893320713,119.06621432175056,119.63006288903492,137447700
2013-01-31,118.88357543945312,119.4236006648168,118.80416816240144,119.03446501885912,108975800
2013-02-01,120.10658264160156,120.24952303041013,119.43155404725006,119.63802753698465,131173000
2013-02-04,118.75653839111328,120.13041912763178,118.66918188253523,119.3759831632039,159073600
2013-02-05,119.95569610595703,120.29717289974516,119.35213769059153,119.39979660577849,113912400
2013-02-06,120.04306030273438,120.12246759773593,119.44745106056804,119.53480756746048,138762800
2013-02-07,119.88420104980469,120.1939172869438,119.01063621802885,120.08273740996304,162490000
2013-02-08,120.55128479003906,120.62275497410366,120.09067896323695,120.09067896323695,103133700
2013-02-11,120.52745819091797,120.63068885925617,120.22567904262654,120.50363479686315,73775000
2013-02-12,120.72599792480469,120.94835768732487,120.40039537336504,120.53539864934528,65392700
2013-02-13,120.82923889160156,121.19455117126826,120.48776212638421,120.97219138980131,82322600
2013-02-14,120.94042205810547,121.0833745601772,120.32893870135848,120.4639419924987,80834300
2013-02-15,120.79749298095703,121.17867949266324,120.35277336434966,121.05161328286093,215226500
2013-02-19,121.70276641845703,121.7265898078835,120.83715095544053,121.00391468142583,95105400
2013-02-20,120.18595886230469,121.65513266191098,120.1224257778015,121.61542296938438,160574800
2013-02-21,119.45540618896484,120.249551965079,119.07421960938687,119.8842516939801,183257000
2013-02-22,120.62276458740234,120.62276458740234,119.51096568768529,120.03509253029522,106356600
2013-02-25,118.32769012451172,121.39309251445874,118.32769012451173,121.21044242601442,245824800
2013-02-26,119.13768005371094,119.28062038972301,118.11322584150913,118.89943404266201,186596200
2013-02-27,120.63866424560547,120.9722039524431,118.93124388910985,119.03448669754788,150781900
2013-02-28,120.40043640136719,121.40105567368197,120.24160967654456,120.63073333470467,126866000
2013-03-01,120.79749298095703,120.9801430839849,119.44744782548446,119.9874610405932,170634800
2013-03-04,121.44075012207031,121.44075012207031,120.32895107033642,120.51953826909032,99010200
2013-03-05,122.5286865234375,122.8542890406072,122.01249686856609,122.02838316927354,121431900
2013-03-06,122.69546508789062,123.0290047039088,122.42545855840409,122.96547161737716,94469900
2013-03-07,122.91785430908203,123.07668100465106,122.7113808166123,122.85432120731438,86101400
2013-03-08,123.4420166015625,123.6087804221801,122.82258388957796,123.45790290942688,123477800
2013-03-11,123.91056823730469,123.91850533293362,123.19584186419725,123.34673150506963,83746800
2013-03-12,123.63256072998047,123.96611249035293,123.25932350803643,123.82316000480785,105755800
2013-03-13,123.80725860595703,123.98197155715384,123.27518266102012,123.6960787386224,92550900
2013-03-14,124.46643829345703,124.52203430275642,123.81524519325205,124.13289859076174,126329900
2013-03-15,124.30207824707031,124.46958369514594,123.88728256584886,124.31803520408434,138601100
2013-03-18,123.61608123779297,124.1505236939401,123.00186616424193,123.1135405256519,126704300
2013-03-19,123.32889556884766,124.04680031520266,122.51526126381233,123.87929488779535,167567300
2013-03-20,124.1904067993164,124.39779855898763,123.84739915923804,124.0548030905015,113759300
2013-03-21,123.1294937133789,124.15051989260527,122.92210195470835,123.44855983004008,128605000
2013-03-22,124.11868286132812,124.11868286132812,123.4246948297977,123.52042445198033,111163600
2013-03-25,123.60013580322266,124.65307602747568,123.12153656895701,124.44567207152627,151322300
2013-03-26,124.58927917480469,124.62118092660208,123.97506395124442,124.11066769667542,86856600
2013-03-27,124.58927917480469,124.62916549324804,123.64004078519213,123.84743260086388,99950600
2013-03-28,124.97216033935547,125.11574865061094,124.23829833625922,124.5095058255696,102932800
2013-04-01,124.47759246826172,125.1635956941783,124.17447108400263,124.90833301867711,99194100
2013-04-02,125.09181213378906,125.4029059235077,124.7328474619951,124.92429447551224,101504300
2013-04-03,123.82349395751953,125.25931611262708,123.49645538264068,125.1635986928181,154167400
2013-04-04,124.32600402832031,124.57328208277667,123.71178900262471,123.98299640611934,131885000
2013-04-05,123.76768493652344,123.9192456593264,122.65891333005577,122.80248948538694,159666000
2013-04-08,124.60519409179688,124.61316648415726,123.44057971283469,123.85537537581195,86571200
2013-04-09,125.03592681884766,125.49060875873424,124.42171184046407,124.83650747782876,101922200
2013-04-10,126.56744384765625,126.7269768583606,125.33902627648537,125.37092800999083,135711100
2013-04-11,126.9822769165039,127.3970726041144,126.46377926409275,126.59141057898708,110142500
2013-04-12,126.67121887207031,126.86265372673947,125.96925861402863,126.57548927314019,116359900
2013-04-15,123.73580932617188,126.1368279321093,123.7198645294843,126.03312589563744,217259000
2013-04-16,125.56244659423828,125.6262622692624,124.36593007362598,124.66903931549618,147507800
2013-04-17,123.72783660888672,124.69303235642012,123.06576240004323,124.66909081824943,226834800
2013-04-18,122.95407104492188,123.967125386182,122.48344400500689,123.93521145407996,167583200
2013-04-19,124.02289581298828,124.07873908103764,122.93805391281991,123.2411752614471,149687600
2013-04-22,124.57330322265625,124.86844002527334,123.44060254679226,124.26220946077525,106553500
2013-04-23,125.85760498046875,125.97725178436828,124.57334320835795,125.19553093183052,166141300
2013-04-24,125.93739318847656,126.27241645237984,125.66617344680328,125.89750685838351,96781200
2013-04-25,126.4478530883789,127.04611127195354,126.11282996616839,126.30426479509217,131060600
2013-04-26,126.22452545166016,126.51168991466884,125.8177020289669,126.29631352451335,95918800
2013-04-29,127.070068359375,127.34924826968617,126.36810804253034,126.5675274805797,88572800
2013-04-30,127.37316131591797,127.40507523801274,126.51965255960526,127.04612272981403,116010700
2013-05-01,126.25643920898438,127.15781900360777,126.11286304962691,127.09400332002762,138874200
2013-05-02,127.42903900146484,127.54071341576025,126.45587103191984,126.57551784309412,96407600
2013-05-03,128.72122192382812,129.1280452628055,127.45291754469578,128.53775949597969,144202300
2013-05-06,129.04827880859375,129.23174124521262,128.7611143909497,128.81695766429988,66882100
2013-05-07,129.70236206054688,129.74223619694828,128.96051568095925,129.32745267427217,90359200
2013-05-08,130.29266357421875,130.33254989077582,129.48701353478344,129.55880160162923,97419200
2013-05-09,129.92579650878906,130.57988613942538,129.59874560767074,130.2368904418625,106738600
2013-05-10,130.3485107421875,130.46018512892348,129.63059353751743,130.01348758197958,103203000
2013-05-13,130.45217895507812,130.667555297965,129.87786232670194,130.18097151386846,81843200
2013-05-14,131.80027770996094,131.89600730683068,130.5559024950117,130.5559024950117,119000900
2013-05-15,132.5101776123047,132.77341263837482,131.54499468830647,131.58488099618236,120718500
2013-05-16,131.8879852294922,132.70161962770175,131.6885658691579,132.2389652511352,109913600
2013-05-17,133.1642608642578,133.24402129756606,132.19906589998035,132.37455589348534,129801000
2013-05-20,133.1563262939453,133.67482407727505,132.90107577129908,133.03667951326665,85071200
2013-05-21,133.3477325439453,133.85027321233582,132.81329013432608,133.27594449748707,95804200
2013-05-22,132.35865783691406,134.86337755487074,131.7524271533222,133.48338633989536,244031800
2013-05-23,131.9757537841797,132.34269082817005,130.7712650146091,130.94675505674442,211064400
2013-05-24,131.8640594482422,131.91990271301097,130.80314696196436,131.1940133005695,151573900
2013-05-28,132.6537628173828,133.83432203932463,132.2628964837895,133.24403634255773,143679800
2013-05-29,131.79226684570312,132.25492121880924,131.0903068076674,131.95179989845894,160363400
2013-05-30,132.27883911132812,132.88506952793068,131.79225543103178,131.8959573835576,107793800
2013-05-31,130.38040161132812,132.66176003988997,130.1251511079196,131.9119411465621,176850100
2013-06-03,131.09829711914062,131.18604212774179,129.75022024681,130.6835014265176,168390700
2013-06-04,130.46815490722656,131.6965853082807,129.80608099500037,131.17011513640037,157631500
2013-06-05,128.64149475097656,130.35649705284266,128.52982035231918,130.09326193352243,211737800
2013-06-06,129.8060760498047,129.81406061584704,127.82783895483715,128.58563026159214,200225500
2013-06-07,131.45730590820312,131.57695271141537,130.1331578185328,130.69951442079818,188337800
2013-06-10,131.45730590820312,131.93590529264955,131.1142981196656,131.8641172107222,105667100
2013-06-11,130.10116577148438,131.24981079995598,129.81400147146923,130.26069878891747,159505400
2013-06-12,129.0243377685547,131.13020591667697,128.904691010204,130.99460220001524,177361500
2013-06-13,130.98663330078125,131.21795443029413,128.66538875411464,128.9525531534094,163587800
2013-06-14,130.16502380371094,131.35356779924052,129.94965961711506,130.8430546265045,141197500
2013-06-17,131.17013549804688,131.79232318990816,130.19696763711576,131.05047652862928,136295600
2013-06-18,132.2070770263672,132.40649640709088,131.233909474708,131.24188186816346,114695600
2013-06-19,130.38040161132812,132.32673690764452,130.32457050841768,132.0954157585682,206149500
2013-06-20,127.14977264404297,130.39632550319848,126.81474959675859,129.1120644028128,321255900
2013-06-21,127.55796813964844,128.1112676870462,126.27492596841434,128.0150438068026,271956800
2013-06-24,125.94612121582031,127.0447177634868,124.87959521024855,126.2267904621267,222329000
2013-06-25,127.15705871582031,128.3839625162118,126.23486804339484,127.0848785470908,162262200
2013-06-26,128.416015625,128.704699552689,127.70232650321323,128.1994996202335,134848000
2013-06-27,129.16970825195312,129.7631170709889,129.06545761504395,129.18574963516767,129483700
