announcement_date,direction,change_bps,scheduled,timing
2015-12-16,hike,25,True,intraday
2016-12-14,hike,25,True,intraday
2017-03-15,hike,25,True,intraday
2017-06-14,hike,25,True,intraday
2017-12-13,hike,25,True,intraday
2018-03-21,hike,25,True,intraday
2018-06-13,hike,25,True,intraday
2018-09-26,hike,25,True,intraday
2018-12-19,hike,25,True,intraday
2019-07-31,cut,-25,True,intraday
2019-09-18,cut,-25,True,intraday
2019-10-30,cut,-25,True,intraday
2020-03-03,cut,-50,False,intraday
2020-03-15,cut,-100,False,after_hours
2022-03-16,hike,25,True,intraday
2022-05-04,hike,50,True,intraday
2022-06-15,hike,75,True,intraday
2022-07-27,hike,75,True,intraday
2022-09-21,hike,75,True,intraday
2022-11-02,hike,75,True,intraday
2022-12-14,hike,50,True,intraday
2023-02-01,hike,25,True,intraday
2023-03-22,hike,25,True,intraday
2023-05-03,hike,25,True,intraday
2023-07-26,hike,25,True,intraday
2024-09-18,cut,-50,True,intraday
2024-11-07,cut,-25,True,intraday
2024-12-18,cut,-25,True,intraday
2025-09-17,cut,-25,True,intraday
2025-10-29,cut,-25,True,intraday
2025-12-10,cut,-25,True,intraday
