Date,HPG,HSG,NKG,TLH,DGC,DCM,DPM,CSV,VIC,VHM,KDH,NLG,VNM,SAB,MSN,KDC,GAS,PLX,PVD,CNG,VCB,TCB,MBB,CTG,SSI,VND,HCM,VCI,GMD,HAH,VSC,VOS,FPT,CMG,ELC,CTR,POW,NT2,REE,GEG,VNINDEX
2026-03-31,26900.0,14850.0,13850.0,4600.0,50200.0,48300.0,29850.0,27000.0,135000.0,103000.0,26000.0,29000.0,60500.0,44300.0,75500.0,48800.0,78300.0,40400.0,34800.0,24400.0,58100.0,30700.0,26450.0,34600.0,26950.0,15800.0,22700.0,26700.0,79500.0,56700.0,23700.0,12600.0,74700.0,28800.0,18000.0,86200.0,13000.0,27600.0,68500.0,16550.0,1674.49
2026-03-30,26900.0,14950.0,13900.0,4510.0,49100.0,49000.0,30850.0,26950.0,129500.0,103000.0,26050.0,28750.0,60600.0,44150.0,74800.0,49000.0,80800.0,41400.0,36200.0,24200.0,58000.0,30500.0,25750.0,34050.0,26550.0,15500.0,22300.0,26150.0,78500.0,56000.0,23300.0,12650.0,74000.0,29050.0,18150.0,86000.0,13050.0,27900.0,70000.0,16900.0,1662.54
2026-03-27,26500.0,14900.0,13800.0,4500.0,51800.0,48500.0,30800.0,27500.0,132600.0,103000.0,26400.0,29350.0,61500.0,44150.0,73300.0,49350.0,82100.0,42250.0,35750.0,24100.0,58800.0,30650.0,26150.0,34800.0,27050.0,15850.0,22250.0,26700.0,78500.0,55900.0,23750.0,12950.0,76100.0,29150.0,18350.0,85600.0,13050.0,27900.0,71700.0,16950.0,1672.8
2026-03-26,25900.0,14500.0,13350.0,4500.0,52300.0,48600.0,31100.0,27400.0,130000.0,101100.0,25450.0,28400.0,61000.0,43750.0,72100.0,49400.0,80300.0,39900.0,34700.0,23850.0,57900.0,30150.0,25800.0,33800.0,26350.0,15500.0,21750.0,26400.0,77800.0,54500.0,23600.0,12750.0,74200.0,28900.0,17850.0,85000.0,13100.0,27750.0,71700.0,16700.0,1644.63
2026-03-25,26350.0,14400.0,13400.0,4510.0,54700.0,45450.0,29400.0,26750.0,128700.0,104200.0,25850.0,29300.0,62100.0,44750.0,73200.0,49600.0,82500.0,41300.0,34750.0,24450.0,58400.0,30800.0,26000.0,34050.0,26850.0,15500.0,21100.0,25788.752,77200.0,53700.0,23950.0,12850.0,77000.0,28800.0,18100.0,82800.0,13350.0,27700.0,70900.0,17150.0,1658.19
2026-03-24,25950.0,14350.0,13150.0,4470.0,52500.0,45350.0,28800.0,26200.0,124000.0,99000.0,25000.0,28200.0,61200.0,45100.0,72100.0,48050.0,80700.0,39800.0,33500.0,23400.0,58200.0,29850.0,25600.0,33550.0,25900.0,15050.0,19750.0,25051.9305,73900.0,52000.0,23500.0,12500.0,75400.0,28150.0,17200.0,81200.0,12700.0,25900.0,66300.0,16050.0,1614.77
2026-03-23,25500.0,13850.0,12850.0,4420.0,51700.0,44300.0,28700.0,25800.0,125600.0,98000.0,24000.0,26400.0,60800.0,42900.0,70800.0,49500.0,80500.0,41000.0,34300.0,23500.0,57600.0,28900.0,25000.0,32500.0,25400.0,14300.0,19100.0,24499.3144,72000.0,49700.0,23500.0,12350.0,73100.0,28150.0,16700.0,78900.0,12700.0,24650.0,65000.0,15850.0,1591.17
2026-03-20,25900.0,14200.0,13750.0,4500.0,55500.0,43600.0,28850.0,27700.0,135000.0,100000.0,25500.0,27700.0,60000.0,42600.0,71300.0,49950.0,82000.0,42800.0,34250.0,24000.0,58000.0,29850.0,25950.0,33600.0,26950.0,15350.0,20500.0,26304.527,77200.0,53400.0,25250.0,13000.0,74600.0,29600.0,17650.0,80000.0,13150.0,25950.0,67400.0,16600.0,1647.81
2026-03-19,26700.0,14600.0,13700.0,4510.0,59600.0,45050.0,30750.0,28100.0,145000.0,102300.0,26250.0,28000.0,61000.0,44350.0,75400.0,50000.0,88100.0,46000.0,36800.0,24000.0,59800.0,30050.0,26400.0,34650.0,27000.0,15600.0,20550.0,25825.5931,76500.0,56000.0,25750.0,13650.0,76800.0,29600.0,17700.0,82000.0,12950.0,25900.0,65400.0,16250.0,1699.13
2026-03-18,26800.0,14750.0,13850.0,4550.0,64000.0,44350.0,30750.0,28850.0,146000.0,102000.0,26200.0,27700.0,61700.0,44450.0,75300.0,50500.0,91700.0,48450.0,37100.0,24600.0,60500.0,30300.0,26300.0,35000.0,28000.0,16150.0,21450.0,26525.5735,79400.0,57500.0,25800.0,14300.0,78600.0,29800.0,18100.0,82500.0,13300.0,26000.0,64000.0,16350.0,1713.83
