ticker,breach_95,rate_95,kupiec_p_95,breach_99,rate_99,kupiec_p_99
HPG,13,0.052845528455284556,0.8391499068818281,6,0.024390243902439025,0.0553707893979023
HSG,13,0.052845528455284556,0.8391499068818281,9,0.036585365853658534,0.0012302478253574112
NKG,15,0.06097560975609756,0.4444203226156207,7,0.028455284552845527,0.017498754379212667
TLH,11,0.044715447154471545,0.6987931778639189,2,0.008130081300813009,0.7606327288228416
DGC,21,0.08536585365853659,0.02019746885512541,13,0.052845528455284556,1.926112547456782e-06
DCM,19,0.07723577235772358,0.06853116752875166,9,0.036585365853658534,0.0012302478253574112
DPM,20,0.08130081300813008,0.038070827512903804,11,0.044715447154471545,5.780698557034114e-05
CSV,17,0.06910569105691057,0.19254426915894096,9,0.036585365853658534,0.0012302478253574112
VIC,24,0.0975609756097561,0.0023146746378914784,7,0.028455284552845527,0.017498754379212667
VHM,23,0.09349593495934959,0.004974399613577041,5,0.02032520325203252,0.15327521764020346
KDH,21,0.08536585365853659,0.02019746885512541,7,0.028455284552845527,0.017498754379212667
NLG,21,0.08536585365853659,0.02019746885512541,8,0.032520325203252036,0.004901377737929091
VNM,23,0.09349593495934959,0.004974399613577041,7,0.028455284552845527,0.017498754379212667
SAB,18,0.07317073170731707,0.117676328709034,8,0.032520325203252036,0.004901377737929091
MSN,15,0.06097560975609756,0.4444203226156207,9,0.036585365853658534,0.0012302478253574112
KDC,25,0.1016260162601626,0.0010333481537059264,5,0.02032520325203252,0.15327521764020346
GAS,29,0.11788617886178862,2.7703119975241997e-05,5,0.02032520325203252,0.15327521764020346
PLX,19,0.07723577235772358,0.06853116752875166,5,0.02032520325203252,0.15327521764020346
PVD,20,0.08130081300813008,0.038070827512903804,8,0.032520325203252036,0.004901377737929091
CNG,19,0.07723577235772358,0.06853116752875166,4,0.016260162601626018,0.3655246024139712
VCB,17,0.06910569105691057,0.19254426915894096,6,0.024390243902439025,0.0553707893979023
TCB,19,0.07723577235772358,0.06853116752875166,7,0.028455284552845527,0.017498754379212667
MBB,13,0.052845528455284556,0.8391499068818281,5,0.02032520325203252,0.15327521764020346
CTG,18,0.07317073170731707,0.117676328709034,6,0.024390243902439025,0.0553707893979023
SSI,17,0.06910569105691057,0.19254426915894096,8,0.032520325203252036,0.004901377737929091
VND,13,0.052845528455284556,0.8391499068818281,8,0.032520325203252036,0.004901377737929091
HCM,18,0.07317073170731707,0.117676328709034,9,0.036585365853658534,0.0012302478253574112
VCI,17,0.06910569105691057,0.19254426915894096,8,0.032520325203252036,0.004901377737929091
GMD,16,0.06504065040650407,0.2999191312518781,9,0.036585365853658534,0.0012302478253574112
HAH,18,0.07317073170731707,0.117676328709034,6,0.024390243902439025,0.0553707893979023
VSC,15,0.06097560975609756,0.4444203226156207,4,0.016260162601626018,0.3655246024139712
VOS,20,0.08130081300813008,0.038070827512903804,8,0.032520325203252036,0.004901377737929091
FPT,17,0.06910569105691057,0.19254426915894096,5,0.02032520325203252,0.15327521764020346
CMG,13,0.052845528455284556,0.8391499068818281,6,0.024390243902439025,0.0553707893979023
ELC,19,0.07723577235772358,0.06853116752875166,7,0.028455284552845527,0.017498754379212667
CTR,11,0.044715447154471545,0.6987931778639189,4,0.016260162601626018,0.3655246024139712
POW,16,0.06504065040650407,0.2999191312518781,8,0.032520325203252036,0.004901377737929091
NT2,14,0.056910569105691054,0.6262195834711475,5,0.02032520325203252,0.15327521764020346
REE,9,0.036585365853658534,0.31165807188782246,5,0.02032520325203252,0.15327521764020346
GEG,17,0.06910569105691057,0.19254426915894096,6,0.024390243902439025,0.0553707893979023
